iter	Passed	Remaining
398	112456	253943
399	112766	253725
400	113032	253407
401	113318	253133
402	113625	252908
403	113918	252650
404	114202	252374
405	114471	252063
406	114769	251815
407	115042	251513
408	115346	251280
409	115662	251072
410	115762	250396
411	116033	250091
412	116329	249841
413	116663	249672
414	116940	249380
415	117251	249158
416	117539	248890
417	117846	248661
418	118055	248225
419	118352	247976
420	118646	247721
421	118955	247494
422	119227	247192
423	119528	246950
424	119798	246644
425	120083	246368
426	120332	246020
427	120623	245755
428	120878	245419
429	121167	245153
430	121432	244837
431	121690	244508
432	121960	244202
433	122247	243932
434	122535	243662
435	122832	243410
436	123116	243133
437	123416	242889
438	123702	242615
439	123983	242331
440	124278	242076
441	124585	241841
442	124861	241548
443	125147	241275
444	125431	240997
445	125695	240682
446	125976	240397
447	126269	240137
448	126554	239861
449	126819	239547
450	127098	239261
451	127396	239009
452	127678	238727
453	128007	238534
454	128318	238305
455	128659	238132
456	129019	237994
457	129303	237715
458	129605	237468
459	129921	237247
460	130194	236948
461	130472	236657
462	130764	236391
463	131043	236103
464	131348	235862
465	131643	235601
466	131934	235335
467	132187	234999
468	132510	234789
469	132788	234498
470	133073	234220
471	133379	233979
472	133692	233749
473	134013	233534
474	134262	233192
475	134544	232909
476	134824	232621
477	135178	232462
478	135458	232173
479	135737	231884
480	136057	231665
481	136351	231401
482	136616	231088
483	136891	230791
484	137210	230569
485	137499	230297
486	137766	229988
487	138061	229725
488	138340	229435
489	138634	229171
490	138917	228889
491	139200	228606
492	139488	228331
493	139780	228062
494	140112	227859
495	140379	227550
496	140687	227308
497	140993	227061
498	141267	226763
499	141552	226484
500	141824	226183
501	142113	225910
502	142409	225646
503	142690	225360
504	142955	225048
505	143229	224750
506	143535	224503
507	143841	224256
508	144133	223988
509	144401	223680
510	144672	223379
511	144969	223116
512	145273	222865
513	145605	222657
514	145913	222412
515	146173	222092
516	146455	221808
517	146732	221514
518	146996	221203
519	147275	220912
520	147590	220677
521	147898	220430
522	148188	220158
523	148504	219922
524	148819	219685
525	149105	219405
526	149399	219138
527	149651	218808
528	149938	218530
529	150167	218167
530	150439	217867
531	150741	217612
532	151020	217322
533	151306	217042
534	151601	216775
535	151874	216477
536	152172	216215
537	152449	215923
538	152745	215657
539	153010	215348
540	153292	215062
541	153572	214775
542	153873	214515
543	154151	214225
544	154433	213939
545	154765	213724
546	155061	213457
547	155379	213221
548	155661	212936
549	155983	212705
550	156292	212455
551	156556	212145
552	156845	211869
553	157132	211589
554	157415	211305
555	157685	211003
556	157961	210709
557	158236	210415
558	158491	210093
559	158761	209792
560	159054	209521
561	159332	209229
562	159638	208975
563	159939	208715
564	160276	208500
565	160537	208188
566	160819	207901
567	161095	207608
568	161398	207350
569	161687	207073
570	161978	206798
571	162243	206492
572	162500	206173
573	162787	205894
574	163071	205611
575	163381	205361
576	163652	205061
577	163980	204833
578	164325	204626
579	164636	204376
580	164926	204100
581	165235	203847
582	165536	203584
583	165817	203297
584	166084	202992
585	166413	202763
586	166719	202505
587	167026	202250
588	167329	201988
589	167626	201719
590	167937	201468
591	168256	201225
592	168525	200922
593	168622	200416
594	168898	200123
595	169231	199897
596	169530	199630
597	169812	199345
598	170067	199026
599	170303	198687
600	170562	198375
601	170871	198119
602	171162	197844
603	171446	197560
604	171706	197249
605	171990	196966
606	172347	196765
607	172636	196487
608	172847	196121
609	173107	195810
610	173344	195474
611	173661	195227
612	173923	194918
613	174185	194611
614	174463	194321
615	174748	194038
616	175084	193813
617	175391	193555
618	175935	193557
619	176469	193546
620	176938	193464
621	177230	193187
622	177542	192931
623	177982	192814
624	178358	192626
625	178695	192397
626	178986	192118
627	179312	191875
628	179620	191614
629	179957	191383
630	180284	191141
631	180551	190836
632	180875	190590
633	181140	190283
634	181450	190022
635	181776	189779
636	182045	189476
637	182364	189224
638	182730	189021
639	183141	188864
640	183567	188721
641	183979	188564
642	184370	188384
643	184650	188090
644	184971	187838
645	185283	187578
646	185710	187432
647	185778	186925
648	186073	186646
649	186354	186354
650	186665	186091
651	186961	185814
652	187242	185522
653	187510	185216
654	187791	184924
655	188105	184664
656	188444	184428
657	188751	184162
658	189063	183899
659	189392	183653
660	189715	183401
661	190022	183133
662	190381	182915
663	190680	182639
664	190953	182338
665	191254	182065
666	191574	181809
667	191873	181533
668	192170	181254
669	192485	180993
670	192821	180751
671	193171	180523
672	193530	180302
673	193944	180132
674	194302	179909
675	194584	179616
676	194846	179304
677	195293	179163
678	195562	178857
679	195847	178567
680	196176	178316
681	196474	178036
682	196830	177810
683	197147	177548
684	197526	177341
685	197821	177059
686	197821	177059
687	198665	176977
688	199136	176849
689	199612	176724
690	199924	176455
691	200316	176255
692	200527	175896
693	200779	175573
694	201054	175270
695	201312	174953
696	201584	174648
697	201830	174321
698	202061	173981
699	202240	173596
700	202470	173257
701	202802	173004
702	203197	172804
703	203687	172685
704	203961	172382
705	204296	172130
706	204685	171924
707	204920	171588
708	205214	171301
709	205514	171020
710	205752	170688
711	206038	170394
712	206303	170084
713	206560	169767
714	206898	169517
715	207224	169257
716	207546	168994
717	208067	168891
718	208379	168618
719	208697	168351
720	209005	168075
721	209455	167912
722	209738	167616
723	210076	167364
724	210413	167110
725	210709	166823
726	211032	166558
727	211355	166293
728	211702	166046
729	212068	165814
730	212501	165634
731	212851	165389
732	213170	165119
733	213472	164836
734	213800	164574
735	214179	164350
736	214473	164060
737	214742	163751
738	215084	163499
739	215366	163200
740	215679	162925
741	215980	162641
742	216297	162368
743	216626	162105
744	217103	161951
745	217445	161697
746	217742	161409
747	218098	161165
748	218461	160925
749	218800	160667
750	219159	160424
751	219557	160209
752	219888	159945
753	220224	159684
754	220564	159426
755	220931	159187
756	221259	158920
757	221528	158611
758	221831	158325
759	222165	158062
760	222442	157758
761	222732	157463
762	223085	157214
763	223426	156954
764	223735	156673
765	223991	156355
766	224337	156098
767	224671	155834
768	224996	155563
769	225290	155271
770	225647	155022
771	225964	154746
772	226406	154554
773	226804	154332
774	227099	154040
775	227421	153766
776	227791	153524
777	228330	153395
778	228686	153143
779	229033	152884
780	229381	152626
781	229779	152401
782	230227	152208
783	230585	151956
784	231040	151767
785	231340	151476
786	231844	151318
787	232122	151012
788	232334	150663
789	232562	150325
790	232818	150005
791	233027	149656
792	233314	149356
793	233739	149144
794	234161	148931
795	234593	148723
796	235003	148500
797	235312	148214
798	235676	147962
799	236070	147728
800	236475	147501
801	236846	147252
802	237218	147004
803	237589	146754
804	237888	146461
805	238219	146186
806	238572	145925
807	238934	145670
808	239271	145398
809	239647	145151
810	240074	144934
811	240393	144651
812	240698	144360
813	241062	144104
814	241383	143822
815	241650	143507
816	242042	143267
817	242373	142991
818	242639	142677
819	242903	142361
820	243245	142090
821	243531	141788
822	243857	141508
823	244136	141201
824	244521	140955
825	244863	140685
826	245129	140370
827	245481	140105
828	245824	139835
829	246127	139541
830	246444	139256
831	246764	138971
832	247097	138695
833	247431	138418
834	247735	138126
835	248012	137817
836	248380	137559
837	248772	137315
838	249121	137046
839	249420	136749
840	249746	136468
841	250105	136204
842	250410	135911
843	250801	135664
844	251150	135395
845	251487	135118
846	251882	134873
847	252350	134666
848	252635	134361
849	253025	134112
850	253351	133829
851	253766	133592
852	254064	133294
