iter	Accuracy	Logloss
111	0.8383010981	0.3898469473
112	0.8384114928	0.3894528173
113	0.8385660455	0.3890562703
114	0.8387721158	0.3885625051
115	0.8388825105	0.3882155432
116	0.838956107	0.3878021851
117	0.839147458	0.3873173177
118	0.83931673	0.3868666955
119	0.8395890371	0.3864095278
120	0.8396552739	0.3859690639
121	0.8397730283	0.3856375944
122	0.8398392652	0.3852031871
123	0.8398539845	0.3848632087
124	0.8399570196	0.3845215085
125	0.8401998881	0.3841057975
126	0.8402366864	0.3837985797
127	0.8405310724	0.383392657
128	0.8405384321	0.3830404214
129	0.8407077041	0.3827447431
130	0.8408033796	0.3823564224
131	0.840899055	0.3820914507
132	0.8410536077	0.3818046734
133	0.8411345639	0.3814513882
134	0.8412891165	0.3811043095
135	0.8413479938	0.3807985838
136	0.8413259148	0.3805537487
137	0.8414436692	0.3803337651
138	0.8414878271	0.3800717462
139	0.8416203009	0.3797670056
140	0.8417380553	0.3794869491
141	0.841870529	0.3791740645
142	0.8419367659	0.3789862653
143	0.8419956431	0.3788191203
144	0.8421796344	0.378553074
145	0.8422237923	0.3782861495
146	0.8422605905	0.3780996346
147	0.8422237923	0.3778558216
148	0.8423121081	0.3775236151
149	0.8424960994	0.3772842002
150	0.8425770556	0.377064353
151	0.8427021696	0.3768026817
152	0.8427610468	0.3765989652
153	0.8429008802	0.3763101111
154	0.8430186346	0.3760797274
155	0.8431658277	0.3757930806
156	0.843180547	0.3756322885
157	0.8432467838	0.375428483
158	0.843305661	0.3752494046
159	0.843474933	0.3750400738
160	0.8436074068	0.3748484155
161	0.8437840384	0.3746261875
162	0.8438649946	0.3744181154
163	0.843982749	0.3741494795
164	0.8441225824	0.3739753334
165	0.844299214	0.3737032735
166	0.8443801702	0.3735109672
167	0.8444243281	0.3733813978
168	0.8445052842	0.373266173
169	0.8445936	0.3730829538
170	0.8446745562	0.3729382176
171	0.8449174247	0.37274002
172	0.8449763019	0.372571843
173	0.8450572581	0.3724412738
174	0.8451382143	0.3722594924
175	0.8452559687	0.3721145017
176	0.8453663634	0.3719257307
177	0.84543996	0.3717413353
178	0.8455503547	0.3715780428
179	0.845734346	0.3714005485
180	0.8458226618	0.3712506303
181	0.8458521004	0.3711231512
182	0.8459624952	0.3710012073
183	0.8459551356	0.3708635581
184	0.846050811	0.370745433
185	0.8461170479	0.3706586674
186	0.8462274427	0.3704652136
187	0.846242162	0.3703105554
188	0.8462936795	0.3701717695
189	0.8463599164	0.369996615
190	0.8464408726	0.3698084978
191	0.8464482322	0.3696818928
192	0.8464335129	0.3696187868
193	0.8464629515	0.3695205649
194	0.8465733463	0.3694080077
195	0.8466469428	0.3692539586
196	0.8466763814	0.3691477614
197	0.8467352586	0.3689578722
198	0.8468088551	0.3688111607
199	0.8468456534	0.3686845406
200	0.8469486885	0.3685628329
201	0.8469854868	0.3684458538
202	0.8470296447	0.3683088403
203	0.8470885219	0.3681599424
204	0.8470811622	0.3680610241
205	0.8471253201	0.3679431775
206	0.8472430746	0.3678585268
207	0.8471841974	0.3677522183
208	0.8472945921	0.3676359706
